ecosystem,name,version,license,repository
"npm","d3-shape","1.3.7","BSD-3-Clause","https://github.com/d3/d3-shape"
"npm","d3-shape","3.2.0","ISC","https://github.com/d3/d3-shape"
"npm","d3-time-format","4.1.0","ISC","https://github.com/d3/d3-time-format"
"npm","d3-time","3.1.0","ISC","https://github.com/d3/d3-time"
"npm","d3-timer","3.0.1","ISC","https://github.com/d3/d3-timer"
"npm","d3-transition","3.0.1","ISC","https://github.com/d3/d3-transition"
"npm","d3-zoom","3.0.0","ISC","https://github.com/d3/d3-zoom"
"npm","d3","7.9.0","ISC","https://github.com/d3/d3"
"npm","dagre-d3-es","7.0.13","MIT","https://github.com/tbo47/dagre-es"
"npm","dagre-d3-es","7.0.14","MIT","https://github.com/tbo47/dagre-es"
"npm","dayjs","1.11.21","MIT","https://github.com/iamkun/dayjs"
"npm","debug","4.4.3","MIT","https://github.com/debug-js/debug"
"npm","decode-named-character-reference","1.3.0","MIT","https://github.com/wooorm/decode-named-character-reference"
"npm","delaunator","5.1.0","ISC","https://github.com/mapbox/delaunator"
"npm","dequal","2.0.3","MIT","https://github.com/lukeed/dequal"
"npm","detect-node-es","1.1.0","MIT","https://github.com/thekashey/detect-node"
"npm","devlop","1.1.0","MIT","https://github.com/wooorm/devlop"
"npm","diff","5.2.2","BSD-3-Clause","https://github.com/kpdecker/jsdiff"
"npm","dompurify","3.4.7","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"npm","elkjs","0.9.3","EPL-2.0","https://github.com/kieler/elkjs"
"npm","emoji-regex-xs","1.0.0","MIT","https://github.com/slevithan/emoji-regex-xs"
"npm","entities","4.5.0","BSD-2-Clause","https://github.com/fb55/entities"
"npm","es-toolkit","1.47.0","MIT","https://github.com/toss/es-toolkit"
"npm","es6-promise-pool","2.5.0","MIT","https://github.com/timdp/es6-promise-pool"
"npm","esm","3.2.25","MIT","https://github.com/standard-things/esm"
"npm","fast-png","6.4.0","MIT","https://github.com/image-js/fast-png"
"npm","fflate","0.8.3","MIT","https://github.com/101arrowz/fflate"
